,319.94057370232474
29.0,327.4622733449181
,312.4188740597314
,334.98397298751144
,244.72357727639138
,207.11507906342467
,319.94057370232474
,312.4188740597314
24.0,177.02828049305134
,244.72357727639138
,259.7669765615781
,101.81128406711792
,282.3320754893581
18.0,222.15847834861137
,207.11507906342467
18.0,252.24527691898473
19.0,222.15847834861137
,237.20187763379803
,244.72357727639138
32.0,192.07167977823798
,237.20187763379803
,334.98397298751144
28.0,289.8537751319514
28.0,229.6801779912047
,169.50658085045796
,199.59337942083135
26.0,237.20187763379803
34.0,229.6801779912047
25.0,297.3754747745447
,222.15847834861137
,161.98488120786465
,289.8537751319514
,244.72357727639138
,327.4622733449181
,252.24527691898473
,237.20187763379803
,357.54907191529145
,199.59337942083135
,282.3320754893581
,312.4188740597314
,169.50658085045796
,199.59337942083135
,252.24527691898473
,252.24527691898473
,289.8537751319514
,334.98397298751144
,237.20187763379803
16.0,342.50567263010475
,237.20187763379803
,207.11507906342467
,289.8537751319514
,154.46318156527133
,312.4188740597314
,327.4622733449181
22.0,222.15847834861137
,146.94148192267795
23.0,207.11507906342467
,199.59337942083135
,350.02737227269813
,267.2886762041714
,297.3754747745447
,237.20187763379803
,304.8971744171381
,289.8537751319514
,252.24527691898473
,207.11507906342467
,222.15847834861137
27.0,289.8537751319514
22.0,199.59337942083135
,334.98397298751144
,199.59337942083135
17.0,267.2886762041714
,252.24527691898473
17.0,252.24527691898473
,319.94057370232474
,312.4188740597314
,289.8537751319514
,146.94148192267795
,222.15847834861137
,327.4622733449181
,252.24527691898473
,184.54998013564466
,214.63677870601802
,312.4188740597314
31.0,327.4622733449181
31.0,177.02828049305134
29.0,282.3320754893581
28.0,267.2886762041714
,312.4188740597314
,161.98488120786465
,267.2886762041714
,327.4622733449181
,229.6801779912047
31.0,327.4622733449181
29.0,244.72357727639138
,222.15847834861137
,199.59337942083135
27.0,304.8971744171381
,274.8103758467647
,192.07167977823798
,192.07167977823798
,252.24527691898473
,282.3320754893581
,334.98397298751144
,131.8980826374913
,199.59337942083135
22.0,177.02828049305134
23.0,229.6801779912047
,327.4622733449181
26.0,334.98397298751144
,297.3754747745447
,297.3754747745447
,199.59337942083135
34.0,267.2886762041714
,199.59337942083135
31.0,199.59337942083135
,267.2886762041714
,192.07167977823798
,222.15847834861137
20.0,192.07167977823798
19.0,237.20187763379803
,334.98397298751144
,237.20187763379803
20.0,214.63677870601802
,274.8103758467647
,177.02828049305134
31.0,222.15847834861137
,207.11507906342467
,177.02828049305134
,154.46318156527133
,222.15847834861137
,282.3320754893581
18.0,259.7669765615781
,79.24618513933791
20.0,267.2886762041714
31.0,237.20187763379803
,327.4622733449181
,244.72357727639138
26.0,199.59337942083135
,139.41978228008463
,124.37638299489794
22.0,244.72357727639138
,297.3754747745447
31.0,199.59337942083135
,327.4622733449181
,357.54907191529145
25.0,342.50567263010475
,312.4188740597314
,237.20187763379803
,229.6801779912047
,229.6801779912047
,259.7669765615781
34.0,312.4188740597314
,161.98488120786465
,237.20187763379803
30.0,229.6801779912047
,267.2886762041714
28.0,237.20187763379803
31.0,274.8103758467647
,319.94057370232474
,304.8971744171381
,282.3320754893581
,327.4622733449181
,222.15847834861137
,282.3320754893581
,357.54907191529145
,304.8971744171381
,214.63677870601802
,192.07167977823798
26.0,267.2886762041714
25.0,244.72357727639138
,289.8537751319514
25.0,222.15847834861137
,327.4622733449181
,274.8103758467647
,237.20187763379803
,259.7669765615781
,259.7669765615781
,289.8537751319514
,274.8103758467647
14.0,357.54907191529145
,252.24527691898473
13.0,259.7669765615781
,282.3320754893581
,214.63677870601802
,184.54998013564466
24.0,304.8971744171381
,207.11507906342467
,297.3754747745447
,289.8537751319514
27.0,214.63677870601802
22.0,214.63677870601802
,327.4622733449181
,319.94057370232474
19.0,259.7669765615781
,304.8971744171381
,222.15847834861137
,267.2886762041714
,199.59337942083135
32.0,304.8971744171381
34.0,357.54907191529145
40.0,214.63677870601802
37.0,199.59337942083135
,282.3320754893581
31.0,154.46318156527133
24.0,214.63677870601802
,319.94057370232474
,192.07167977823798
22.0,319.94057370232474
17.0,342.50567263010475
19.0,237.20187763379803
,312.4188740597314
14.0,222.15847834861137
,365.0707715578848
,365.0707715578848
17.0,252.24527691898473
,350.02737227269813
,252.24527691898473
12.0,342.50567263010475
,289.8537751319514
13.0,259.7669765615781
,222.15847834861137
12.0,267.2886762041714
,267.2886762041714
,244.72357727639138
,274.8103758467647
,252.24527691898473
15.0,244.72357727639138
,289.8537751319514
29.0,184.54998013564466
,222.15847834861137
,274.8103758467647
,207.11507906342467
29.0,274.8103758467647
35.0,282.3320754893581
,207.11507906342467
,327.4622733449181
,259.7669765615781
17.0,312.4188740597314
22.0,289.8537751319514
,237.20187763379803
,177.02828049305134
22.0,229.6801779912047
,282.3320754893581
22.0,289.8537751319514
,289.8537751319514
,237.20187763379803
,184.54998013564466
,289.8537751319514
34.0,289.8537751319514
,252.24527691898473
,161.98488120786465
38.0,237.20187763379803
34.0,222.15847834861137
,357.54907191529145
34.0,304.8971744171381
,116.85468335230462
34.0,154.46318156527133
,237.20187763379803
41.0,207.11507906342467
,199.59337942083135
,297.3754747745447
15.0,274.8103758467647
,237.20187763379803
15.0,259.7669765615781
,237.20187763379803
,244.72357727639138
,312.4188740597314
,357.54907191529145
,199.59337942083135
,297.3754747745447
,267.2886762041714
,259.7669765615781
,304.8971744171381
,289.8537751319514
28.0,282.3320754893581
26.0,252.24527691898473
27.0,244.72357727639138
,192.07167977823798
29.0,237.20187763379803
,199.59337942083135
