1.0,147
1.0,152
1.2,138
1.2,159
1.2,159
1.2,147
1.3,143
1.4,179
1.4,179
1.4,184
1.4,172
1.4,191
1.4,191
1.4,182
1.4,182
1.4,124
1.4,168
1.4,168
1.4,196
1.4,166
1.4,182
1.4,182
1.4,156
1.4,179
1.4,200
1.4,193
1.4,177
1.4,179
1.4,179
1.5,159
1.5,172
1.5,177
1.5,136
1.5,145
1.5,163
1.5,177
1.5,196
1.6,207
1.6,184
1.6,191
1.6,225
1.6,223
1.6,191
1.6,184
1.6,196
1.6,175
1.6,175
1.6,177
1.6,196
1.6,205
1.6,207
1.6,186
1.6,198
1.6,200
1.6,184
1.6,232
1.6,177
1.6,216
1.6,207
1.6,214
1.6,191
1.6,207
1.6,184
1.6,191
1.6,177
1.6,184
1.6,191
1.6,179
1.6,177
1.6,175
1.6,179
1.6,200
1.6,179
1.6,179
1.6,179
1.6,177
1.6,184
1.6,209
1.6,196
1.6,191
1.6,179
1.6,191
1.6,196
1.6,191
1.6,207
1.6,184
1.6,184
1.8,191
1.8,191
1.8,179
1.8,182
1.8,191
1.8,182
1.8,161
1.8,163
1.8,184
1.8,168
1.8,216
1.8,177
1.8,205
1.8,161
1.8,156
1.8,170
1.8,196
1.8,200
1.8,196
1.8,200
1.8,189
1.8,159
1.8,216
1.8,198
1.8,202
1.8,189
1.8,189
1.8,198
1.8,166
2.0,165
2.0,184
2.0,212
2.0,170
2.0,145
2.0,177
2.0,214
2.0,225
2.0,221
2.0,179
2.0,207
2.0,184
2.0,198
2.0,198
2.0,283
2.0,186
2.0,198
2.0,166
2.0,288
2.0,162
2.0,189
2.0,235
2.0,184
2.0,235
2.0,163
2.0,200
2.0,138
2.0,161
2.0,159
2.0,228
2.0,196
2.0,228
2.0,191
2.0,196
2.0,192
2.0,225
2.0,223
2.0,200
2.0,202
2.0,193
2.0,209
2.0,209
2.0,192
2.0,209
2.0,207
2.0,209
2.0,110
2.0,184
2.0,197
2.0,246
2.0,197
2.0,267
2.0,221
2.0,216
2.0,186
2.0,237
2.0,230
2.0,264
2.0,214
2.0,230
2.0,202
2.0,198
2.0,242
2.0,239
2.0,212
2.0,225
2.0,186
2.0,186
2.0,212
2.0,207
2.0,216
2.0,209
2.0,209
2.0,237
2.0,214
